"Input";"Coordinates"
"Singapore Singapore Turf Club Corporate Box";"1.4218875,103.76447039999994"
"Singapore Singapore Kranji Turf Club";"1.422833,103.763013"
"Singapore Champagne Room at Singapore Turf Club";"1.4218875,103.76447039999994"
"Singapore Suntec City";"1.2951272,103.8599418"
"Singapore My Office Cubicle";"1.279341,103.84932900000001"
"Singapore Steven Burridge Racing Stables Pte Ltd";"1.279304,103.84839149999993"
"Singapore Woodlands St 41 Block 413";"1.4279321,103.7728492"
"Singapore Steven Burridge Racing Stable";"1.422209,103.76226599999995"
"Singapore Jalan Bumbong";"1.414836,103.75747350000006"
" ERROR! Input:Singapore Corp Comms Dept, STC"
"Singapore Jalan Kasau";"1.4174243,103.75912370000003"
"Singapore Woodlands Cosway Point";"1.4360706,103.78621769999995"
"Singapore Mr Teh Tarik Ang Mo Kio Blk 618";"1.3786898,103.83697819999998"
"Singapore Old Upper Thomsom Road";"1.3803178,103.81871709999996"
"Singapore Solitary Symphony";"1.3144365,103.81467659999998"
"Singapore Jersey Corner";"29.8821529,-95.56303939999998"
"Singapore ??????????????????????";"1.352083,103.81983600000001"
" ERROR! Input:Singapore JasModa"
"Singapore Living Room";"1.3049283,103.83313850000002"
"Singapore Clover By The Park";"1.359824,103.84563100000003"
"Singapore Bishan St. 22, Singapore";"1.3579441,103.84508140000003"
"Singapore Brownice Ice Cream";"1.353709,103.83608900000002"
"Singapore OZ Specialty Coffee";"1.351452,103.83536500000002"
"Singapore Fort Canning Park,Singapore";"1.2941149,103.84630709999999"
"Singapore Go Nuts Cafe by The Famous Ice-Cream Rolls Shop";"1.353309,103.83541020000007"
"Singapore Singapore Bishan";"1.3525845,103.83521159999998"
"Singapore Whitley Secondary School";"1.3555371,103.84299340000007"
"Singapore Beegurt";"1.3533563,103.83552759999998"
"Singapore Natura Loft";"1.3562678,103.84407299999998"
"Singapore KPT @ Bishan St 22";"1.3588966,103.8446222"
"Singapore Baiyoke Sky Hotel Bangkok";"13.75506,100.54030699999998"
"Singapore Thomson Gardens Estate";"1.3546301,103.83757600000001"
"Singapore Chicken Clinic";"1.3533563,103.83552759999998"
"Singapore Universel Studio Singapore";"1.2540421,103.82380839999996"
"Singapore Shun Fu Market";"1.3520512,103.8370711"
"Singapore Bishan North Shopping Mall";"1.3579607,103.84468949999996"
"Singapore Blk 23 Sin Ming Road";"1.354562,103.83585100000005"
"Singapore Shunfu Mart";"1.3520616,103.8370496"
"Singapore Seasons View";"1.3522626,103.84149389999993"
"Singapore Marymount Terrace";"1.349949,103.84023239999999"
"Singapore Thomson V Two";"1.3533563,103.83552759999998"
"Singapore Kueh Chap @ Bishan KPT 284";"1.3588966,103.8446222"
"Singapore The Bakery by Woodlands Sourdough";"1.3224786,103.81371979999994"
"Singapore Singapore - The Lion City";"1.314478,103.88979990000007"
"Singapore Shunfu Ville";"1.352234,103.83883500000002"
"Singapore Singapore Design Centre";"1.2985119,103.85351200000002"
"Singapore Thomson Garden Estate, Singapore";"1.3546301,103.83757600000001"
"Singapore Changi Airport Terminal 1 Departure";"1.3612372,103.99019799999996"
"Singapore Jalan Pintau, Thomson Garden Estate";"1.3546301,103.83757600000001"
"Singapore Whitley Secondary School";"1.3555371,103.84299340000007"
"Singapore Marymount Road, Singapore";"1.3518053,103.84011550000002"
"Singapore Singapore Botanical Gardens, Orchid Garden";"1.3117595,103.81475009999997"
"Singapore MBS";"1.2835627,103.86068720000003"
"Singapore Takashimaya, Ngee Ann City";"1.3025572,103.83456799999999"
"Singapore Newton Circus Hawker Centre";"1.3119888,103.83957420000002"
"Singapore 237 Bishan street 22";"1.359335,103.84709700000008"
" ERROR! Input:Singapore Precious Moments, Home Sweet Home"
"Singapore Esplanade Theatre";"1.2897934,103.85581660000003"
"Singapore Omakase Burger";"1.3378886,103.79361819999997"
"Singapore Sin Ming Road";"1.3559431,103.8378404"
"Singapore The Black Sheep Caf�";"1.351974,103.83606499999996"
"Singapore Bishan Heights Street 22";"1.356335,103.84496899999999"
"Singapore Chocolat N Spice";"1.275726,103.842667"
"Singapore Brownice";"1.353709,103.83608900000002"
"Singapore Bishan  kway chap";"1.3491749,103.84839149999993"
"Singapore Fountain Of Wealth, Suntec City";"1.294638,103.85855300000003"
"Singapore Bishan St.23 Singapore";"1.3570182,103.84777789999998"
"Singapore Kong Meng San Phor Kark See Monastery";"1.3609789,103.83617529999992"
"Singapore Church of The Holy Spirit";"1.3546018,103.83361209999998"
"Singapore Hai Bin Prawning";"1.3923422,103.91665119999993"
"Singapore Midview City";"1.3586046,103.83356759999992"
"Singapore Miwa Singapore";"1.3550768,103.83624710000004"
"Singapore Midview City";"1.3586046,103.83356759999992"
"Singapore Sin Ming Roti Prata";"1.3553878,103.836408"
"Singapore Bright Hill Temple";"1.3609789,103.83617529999992"
"Singapore Blk 22 Sin Ming Road";"1.356959,103.83889599999998"
"Singapore Land Transport Authority (LTA)";"1.35658,103.83682820000001"
"Singapore ???";"1.352083,103.81983600000001"
